experiment,objective,tire_set,simulation_id,final_gap,winner,A_wins,B_wins,tie,start_tire_A,start_tire_B,n_pits_A,n_pits_B,had_VSC,had_SC,mean_gap_race,std_gap_race
EXP_SH_gap,gap,"[1, 3]",0,-1.3999999999999968,A,1,0,0,3,1,1,2,1,0,-0.8571428571428534,0.6565214453186324
EXP_SH_gap,gap,"[1, 3]",1,-0.9999999999999964,A,1,0,0,3,3,1,1,0,0,-0.8476190476190439,0.2382856381561298
EXP_SH_gap,gap,"[1, 3]",2,4.440892098500626e-15,B,0,1,0,1,3,1,1,1,0,-0.828571428571425,0.858094709581784
EXP_SH_gap,gap,"[1, 3]",3,0.600000000000005,B,0,1,0,3,1,1,1,1,0,1.1714285714285768,0.6936053888012625
EXP_SH_gap,gap,"[1, 3]",4,-0.7999999999999963,A,1,0,0,1,3,1,1,1,0,-1.571428571428568,0.6087793072189296
EXP_SH_gap,gap,"[1, 3]",5,-0.3999999999999959,A,1,0,0,1,3,1,1,0,0,-1.438095238095235,0.654999956725692
EXP_SH_gap,gap,"[1, 3]",6,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-1.0190476190476156,0.9111055804267741
EXP_SH_gap,gap,"[1, 3]",7,-0.9999999999999964,A,1,0,0,3,1,2,3,0,1,-0.828571428571425,0.4244243800982326
EXP_SH_gap,gap,"[1, 3]",8,0.8000000000000052,B,0,1,0,1,3,2,1,0,1,0.02857142857143304,1.104597688944609
EXP_SH_gap,gap,"[1, 3]",9,1.0000000000000053,B,0,1,0,3,3,1,1,0,0,0.7142857142857194,0.40741427878490394
EXP_SH_gap,gap,"[1, 3]",10,0.20000000000000462,B,0,1,0,3,1,1,1,0,0,1.0000000000000053,0.7976154939508618
EXP_SH_gap,gap,"[1, 3]",11,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-0.7809523809523772,0.20381842437174016
EXP_SH_gap,gap,"[1, 3]",12,0.8000000000000052,B,0,1,0,3,3,1,1,1,0,0.18095238095238556,0.5585858399472454
EXP_SH_gap,gap,"[1, 3]",13,-0.9999999999999964,A,1,0,0,1,1,1,3,1,0,-1.7238095238095212,1.42825393297276
EXP_SH_gap,gap,"[1, 3]",14,-0.9999999999999964,A,1,0,0,1,1,1,1,1,0,-0.9238095238095202,0.9611029189746951
EXP_SH_gap,gap,"[1, 3]",15,0.8000000000000052,B,0,1,0,3,1,1,1,1,0,1.4285714285714344,0.6908537555551296
EXP_SH_gap,gap,"[1, 3]",16,-0.9999999999999964,A,1,0,0,1,1,1,1,1,0,-0.7714285714285677,0.2639315516295435
EXP_SH_gap,gap,"[1, 3]",17,-0.5999999999999961,A,1,0,0,3,1,1,2,0,1,0.45714285714286196,1.1810291833705004
EXP_SH_gap,gap,"[1, 3]",18,4.440892098500626e-15,B,0,1,0,1,3,1,2,0,1,0.13333333333333788,1.214724477219241
EXP_SH_gap,gap,"[1, 3]",19,-0.5999999999999961,A,1,0,0,3,3,2,2,0,1,-0.12380952380951948,1.135532080822011
EXP_SH_gap,gap,"[1, 3]",20,-0.9999999999999964,A,1,0,0,3,3,1,1,0,0,-0.742857142857139,0.27004660721443496
EXP_SH_gap,gap,"[1, 3]",21,0.8000000000000052,B,0,1,0,1,3,2,1,1,1,0.314285714285719,0.9249379460707807
EXP_SH_gap,gap,"[1, 3]",22,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-1.0380952380952346,0.9063144573996443
EXP_SH_gap,gap,"[1, 3]",23,-0.9999999999999964,A,1,0,0,3,3,2,2,0,1,-0.4476190476190436,1.0900498230723434
EXP_SH_gap,gap,"[1, 3]",24,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-0.8190476190476152,0.20381842437174016
EXP_SH_gap,gap,"[1, 3]",25,0.8000000000000052,B,0,1,0,3,3,1,1,0,0,0.5619047619047667,0.35787227101058955
EXP_SH_gap,gap,"[1, 3]",26,-0.9999999999999964,A,1,0,0,3,3,2,2,0,1,-0.6761904761904723,0.7315376902732013
EXP_SH_gap,gap,"[1, 3]",27,0.20000000000000462,B,0,1,0,3,1,1,1,0,0,1.028571428571434,0.7641633190825726
EXP_SH_gap,gap,"[1, 3]",28,-0.7999999999999963,A,1,0,0,1,3,2,1,1,0,-0.9809523809523772,0.6381663073428941
EXP_SH_gap,gap,"[1, 3]",29,0.8000000000000052,B,0,1,0,3,1,1,1,1,0,1.3619047619047673,0.710785072649345
EXP_SH_gap,gap,"[1, 3]",30,0.8000000000000052,B,0,1,0,1,1,1,1,1,0,0.6095238095238142,0.3407341679999683
EXP_SH_gap,gap,"[1, 3]",31,-0.7999999999999963,A,1,0,0,1,1,2,2,1,0,-0.5999999999999962,0.13801311186847098
EXP_SH_gap,gap,"[1, 3]",32,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-0.8190476190476152,0.22172279479662524
