experiment,objective,tire_set,simulation_id,final_gap,winner,A_wins,B_wins,tie,start_tire_A,start_tire_B,n_pits_A,n_pits_B,had_VSC,had_SC,mean_gap_race,std_gap_race
EXP_SH_win,win,"[1, 3]",0,-4.199999999999999,A,1,0,0,3,3,1,1,0,1,-0.25714285714285295,1.7338565406057578
EXP_SH_win,win,"[1, 3]",1,-0.19999999999999574,A,1,0,0,1,3,1,1,0,0,-1.2285714285714253,0.6569357851802115
EXP_SH_win,win,"[1, 3]",2,0.4000000000000048,B,0,1,0,1,3,2,1,0,1,-0.09523809523809088,0.9229745858731985
EXP_SH_win,win,"[1, 3]",3,-1.7999999999999972,A,1,0,0,1,3,1,3,0,0,-1.0857142857142823,1.6625527458258476
EXP_SH_win,win,"[1, 3]",4,-0.7999999999999963,A,1,0,0,1,1,3,3,0,0,-1.3047619047619015,1.4231006357602183
EXP_SH_win,win,"[1, 3]",5,-0.19999999999999574,A,1,0,0,1,3,1,1,1,1,-1.0285714285714251,0.521118629344932
EXP_SH_win,win,"[1, 3]",6,-1.7999999999999972,A,1,0,0,1,3,1,3,0,0,-1.0571428571428536,1.6893423427536567
EXP_SH_win,win,"[1, 3]",7,-0.3999999999999959,A,1,0,0,1,3,1,1,1,0,-0.35238095238094824,0.8392848699759354
EXP_SH_win,win,"[1, 3]",8,-0.5999999999999961,A,1,0,0,3,3,2,3,0,1,-0.5333333333333293,1.7548119783512661
EXP_SH_win,win,"[1, 3]",9,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-1.009523809523806,0.9185416816136757
EXP_SH_win,win,"[1, 3]",10,0.600000000000005,B,0,1,0,3,3,1,5,0,1,-1.2380952380952348,2.4801067931069882
EXP_SH_win,win,"[1, 3]",11,4.440892098500626e-15,B,0,1,0,3,1,1,1,0,0,0.7523809523809575,1.1528924484670844
EXP_SH_win,win,"[1, 3]",12,1.6000000000000059,B,0,1,0,1,3,1,2,1,0,-0.7714285714285678,1.7666602489936072
EXP_SH_win,win,"[1, 3]",13,-0.9999999999999964,A,1,0,0,3,3,2,6,0,0,-2.3523809523809507,1.8669096051825615
EXP_SH_win,win,"[1, 3]",14,-1.9999999999999973,A,1,0,0,1,3,1,3,0,0,-1.1809523809523774,1.610566019290838
EXP_SH_win,win,"[1, 3]",15,-0.3999999999999959,A,1,0,0,3,3,1,5,0,1,-2.0190476190476168,1.9032851418181578
EXP_SH_win,win,"[1, 3]",16,0.20000000000000462,B,0,1,0,1,3,1,2,0,1,-0.7904761904761868,1.7386104911420792
EXP_SH_win,win,"[1, 3]",17,-1.599999999999997,A,1,0,0,1,3,1,3,0,0,-1.0476190476190443,1.7148147331886914
EXP_SH_win,win,"[1, 3]",18,-1.3999999999999968,A,1,0,0,1,3,1,2,0,1,-0.14285714285713855,1.3066028028263772
EXP_SH_win,win,"[1, 3]",19,0.20000000000000462,B,0,1,0,3,1,1,1,0,1,0.6380952380952432,0.9751562465653497
EXP_SH_win,win,"[1, 3]",20,-1.9999999999999973,A,1,0,0,1,3,1,3,0,0,-1.047619047619044,1.705905442480565
EXP_SH_win,win,"[1, 3]",21,-0.19999999999999574,A,1,0,0,1,3,1,1,0,0,-1.2476190476190443,0.638166307342894
EXP_SH_win,win,"[1, 3]",22,-0.5999999999999961,A,1,0,0,1,3,1,1,1,0,-1.3523809523809494,0.5585858399472455
EXP_SH_win,win,"[1, 3]",23,3.000000000000007,B,0,1,0,3,3,1,1,1,0,-0.9999999999999964,2.057275128022735
EXP_SH_win,win,"[1, 3]",24,-2.799999999999998,A,1,0,0,1,3,1,2,0,1,-0.7333333333333295,1.1336134107707827
EXP_SH_win,win,"[1, 3]",25,-0.3999999999999959,A,1,0,0,1,3,1,1,0,0,-1.2095238095238061,1.0663264763640699
EXP_SH_win,win,"[1, 3]",26,-0.19999999999999574,A,1,0,0,1,3,1,2,1,1,-1.314285714285711,0.767361412513665
EXP_SH_win,win,"[1, 3]",27,-3.1999999999999984,A,1,0,0,1,3,1,1,0,0,-0.9809523809523772,1.5649795518576053
EXP_SH_win,win,"[1, 3]",28,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-1.0380952380952346,0.9146824536032748
EXP_SH_win,win,"[1, 3]",29,-2.9999999999999982,A,1,0,0,1,3,1,1,1,0,-0.7142857142857105,1.43370506174793
EXP_SH_win,win,"[1, 3]",30,-0.5999999999999961,A,1,0,0,1,3,1,1,1,0,-1.3714285714285683,0.5632751650522384
EXP_SH_win,win,"[1, 3]",31,-5.0,A,1,0,0,3,3,1,2,0,0,-1.3714285714285683,1.4713592216667135
EXP_SH_win,win,"[1, 3]",32,-1.9999999999999973,A,1,0,0,1,3,1,3,0,0,-1.1238095238095203,1.6658773641208569
EXP_SH_win,win,"[1, 3]",33,-1.1999999999999966,A,1,0,0,1,3,1,2,0,1,4.440892098500626e-15,1.3180071536766635
EXP_SH_win,win,"[1, 3]",34,-3.5999999999999988,A,1,0,0,3,3,1,1,0,0,-0.2476190476190434,1.8204183317288192
EXP_SH_win,win,"[1, 3]",35,-0.19999999999999574,A,1,0,0,1,3,1,1,0,0,-1.2476190476190443,0.638166307342894
EXP_SH_win,win,"[1, 3]",36,-0.19999999999999574,A,1,0,0,1,3,1,1,1,0,-1.2476190476190443,0.6351745524012603
EXP_SH_win,win,"[1, 3]",37,5.000000000000009,B,0,1,0,3,3,1,1,1,0,0.7238095238095289,1.5149743866779575
EXP_SH_win,win,"[1, 3]",38,1.0000000000000053,B,0,1,0,1,3,1,1,0,1,0.18095238095238556,1.1362507468148
EXP_SH_win,win,"[1, 3]",39,-1.3999999999999968,A,1,0,0,1,1,3,1,1,0,0.9428571428571482,1.779398354332544
EXP_SH_win,win,"[1, 3]",40,-1.9999999999999973,A,1,0,0,1,3,1,3,0,0,-1.1809523809523776,1.6010767352060753
EXP_SH_win,win,"[1, 3]",41,-1.7999999999999972,A,1,0,0,1,3,1,3,0,0,-1.028571428571425,1.7384017994487166
EXP_SH_win,win,"[1, 3]",42,-0.19999999999999574,A,1,0,0,1,3,1,2,0,1,-0.6190476190476153,1.1176587125470943
EXP_SH_win,win,"[1, 3]",43,-3.1999999999999984,A,1,0,0,1,3,1,1,0,0,-0.9809523809523772,1.5649795518576053
EXP_SH_win,win,"[1, 3]",44,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-0.9523809523809488,0.9358566473552956
EXP_SH_win,win,"[1, 3]",45,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-1.0761904761904728,0.9039093727774996
EXP_SH_win,win,"[1, 3]",46,0.600000000000005,B,0,1,0,1,3,1,3,0,1,-1.2666666666666633,1.4227181674973395
EXP_SH_win,win,"[1, 3]",47,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-1.0476190476190441,0.9111055804267739
EXP_SH_win,win,"[1, 3]",48,-0.9999999999999964,A,1,0,0,3,3,2,2,0,0,-0.9999999999999964,0.8750510189207753
EXP_SH_win,win,"[1, 3]",49,0.600000000000005,B,0,1,0,1,3,1,1,1,0,-0.6380952380952343,1.0878008354457052
EXP_SH_win,win,"[1, 3]",50,1.0000000000000053,B,0,1,0,3,1,2,2,1,0,1.3333333333333395,1.372288090444061
