experiment,objective,tire_set,simulation_id,final_gap,winner,A_wins,B_wins,tie,start_tire_A,start_tire_B,n_pits_A,n_pits_B,had_VSC,had_SC,mean_gap_race,std_gap_race
EXP_SM_gap,gap,"[1, 2]",0,-1.3999999999999968,A,1,0,0,2,1,1,1,1,0,0.12380952380952837,1.5765860530800229
EXP_SM_gap,gap,"[1, 2]",1,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-0.40952380952380546,0.5672865756889692
EXP_SM_gap,gap,"[1, 2]",2,-1.599999999999997,A,1,0,0,2,1,1,1,0,0,0.6571428571428621,1.092211138044302
EXP_SM_gap,gap,"[1, 2]",3,4.440892098500626e-15,B,0,1,0,2,1,1,1,0,0,1.3809523809523865,1.0307736565637295
EXP_SM_gap,gap,"[1, 2]",4,0.20000000000000462,B,0,1,0,2,1,1,1,0,1,0.9809523809523861,1.1278378166161886
EXP_SM_gap,gap,"[1, 2]",5,-0.7999999999999963,A,1,0,0,2,1,1,3,1,1,-0.32380952380951966,0.683063660077757
EXP_SM_gap,gap,"[1, 2]",6,0.20000000000000462,B,0,1,0,2,1,1,2,1,1,0.4761904761904811,0.6516680150307054
EXP_SM_gap,gap,"[1, 2]",7,-1.3999999999999968,A,1,0,0,2,1,1,1,0,0,0.5333333333333383,1.0072751235899637
EXP_SM_gap,gap,"[1, 2]",8,0.600000000000005,B,0,1,0,2,1,1,2,1,1,0.4285714285714334,0.7490583657994555
EXP_SM_gap,gap,"[1, 2]",9,-0.9999999999999964,A,1,0,0,2,1,1,1,0,0,1.3142857142857198,1.118794297568642
EXP_SM_gap,gap,"[1, 2]",10,-0.9999999999999964,A,1,0,0,2,1,1,3,0,1,-0.25714285714285295,1.008804775380219
EXP_SM_gap,gap,"[1, 2]",11,-0.9999999999999964,A,1,0,0,2,1,2,3,0,1,-0.7809523809523772,0.4360199292289374
EXP_SM_gap,gap,"[1, 2]",12,0.8000000000000052,B,0,1,0,2,1,1,2,1,0,0.6666666666666716,0.5898614311315061
EXP_SM_gap,gap,"[1, 2]",13,-0.9999999999999964,A,1,0,0,2,2,1,1,0,0,-0.8761904761904725,0.22657861434991106
EXP_SM_gap,gap,"[1, 2]",14,-0.19999999999999574,A,1,0,0,2,1,1,1,0,0,0.8190476190476242,0.9815532140531873
EXP_SM_gap,gap,"[1, 2]",15,-1.599999999999997,A,1,0,0,2,1,1,1,0,0,0.46666666666667145,0.9528570238690113
EXP_SM_gap,gap,"[1, 2]",16,-0.7999999999999963,A,1,0,0,1,1,2,2,1,0,-0.952380952380949,0.9256241382718338
EXP_SM_gap,gap,"[1, 2]",17,0.20000000000000462,B,0,1,0,2,1,2,1,0,1,-0.10476190476190042,1.1103307917554046
EXP_SM_gap,gap,"[1, 2]",18,-0.19999999999999574,A,1,0,0,2,1,1,1,0,0,1.4857142857142915,1.1238902311616923
EXP_SM_gap,gap,"[1, 2]",19,-0.9999999999999964,A,1,0,0,2,1,2,3,0,1,-0.9142857142857107,0.9691850844349381
