experiment,objective,tire_set,simulation_id,final_gap,winner,A_wins,B_wins,tie,start_tire_A,start_tire_B,n_pits_A,n_pits_B,had_VSC,had_SC,mean_gap_race,std_gap_race
EXP_SM_win,win,"[1, 2]",0,0.4000000000000048,B,0,1,0,1,1,2,3,0,1,0.7809523809523863,1.9624132489455923
EXP_SM_win,win,"[1, 2]",1,-0.7999999999999963,A,1,0,0,2,2,1,2,0,0,-0.48571428571428177,2.1818047824779248
EXP_SM_win,win,"[1, 2]",2,4.000000000000008,B,0,1,0,2,2,2,2,0,1,-0.3142857142857099,2.0119371651377667
EXP_SM_win,win,"[1, 2]",3,-1.1999999999999966,A,1,0,0,2,2,1,2,0,0,-0.24761904761904335,2.0571869483811085
EXP_SM_win,win,"[1, 2]",4,-0.19999999999999574,A,1,0,0,1,1,2,2,0,1,-0.9523809523809487,1.4927185323362369
EXP_SM_win,win,"[1, 2]",5,0.600000000000005,B,0,1,0,2,1,3,1,0,0,0.600000000000005,1.925270543759155
EXP_SM_win,win,"[1, 2]",6,-0.5999999999999961,A,1,0,0,1,2,1,3,0,0,-0.7714285714285678,1.9235737715049492
EXP_SM_win,win,"[1, 2]",7,4.400000000000008,B,0,1,0,2,2,1,1,1,0,-0.4476190476190433,2.302714557010002
EXP_SM_win,win,"[1, 2]",8,-1.599999999999997,A,1,0,0,2,1,1,1,1,1,-0.438095238095234,0.8014725676178768
EXP_SM_win,win,"[1, 2]",9,4.440892098500626e-15,B,0,1,0,2,1,1,1,0,0,0.9523809523809577,1.1479252703481428
EXP_SM_win,win,"[1, 2]",10,0.4000000000000048,B,0,1,0,1,1,3,2,0,1,-0.8285714285714246,1.9540295014449023
EXP_SM_win,win,"[1, 2]",11,-3.799999999999999,A,1,0,0,1,1,1,3,1,0,-2.1714285714285686,1.1318517727044262
EXP_SM_win,win,"[1, 2]",12,0.8000000000000052,B,0,1,0,2,1,1,1,1,0,1.476190476190482,0.9591190213170396
EXP_SM_win,win,"[1, 2]",13,-0.5999999999999961,A,1,0,0,1,2,1,3,0,0,-0.72380952380952,1.8968406720511344
EXP_SM_win,win,"[1, 2]",14,-4.199999999999999,A,1,0,0,1,1,2,3,0,0,-1.3428571428571396,1.7513454497482062
EXP_SM_win,win,"[1, 2]",15,-2.3999999999999977,A,1,0,0,2,2,2,1,1,1,-1.3619047619047588,1.601926278095693
EXP_SM_win,win,"[1, 2]",16,-0.9999999999999964,A,1,0,0,2,1,1,1,0,0,1.2857142857142914,1.134013401401335
EXP_SM_win,win,"[1, 2]",17,-0.5999999999999961,A,1,0,0,1,1,2,2,0,1,-1.0761904761904726,1.4349065879351788
EXP_SM_win,win,"[1, 2]",18,-3.3999999999999986,A,1,0,0,1,1,3,3,0,1,-1.0285714285714251,2.0547605252988825
EXP_SM_win,win,"[1, 2]",19,-0.9999999999999964,A,1,0,0,2,2,2,2,0,0,-1.1904761904761871,1.1991682680705802
EXP_SM_win,win,"[1, 2]",20,-0.7999999999999963,A,1,0,0,2,1,1,1,0,0,0.7238095238095289,1.0037571143813646
EXP_SM_win,win,"[1, 2]",21,-5.0,A,1,0,0,1,1,2,3,0,0,-1.6761904761904736,1.7187771849014852
EXP_SM_win,win,"[1, 2]",22,-3.1999999999999984,A,1,0,0,1,1,2,3,0,1,-0.9809523809523775,1.7983111250543764
EXP_SM_win,win,"[1, 2]",23,-0.9999999999999964,A,1,0,0,2,1,1,1,1,1,0.13333333333333788,0.8779485467803065
EXP_SM_win,win,"[1, 2]",24,-3.1999999999999984,A,1,0,0,1,1,2,3,0,0,-0.9809523809523775,1.7759287436421363
EXP_SM_win,win,"[1, 2]",25,-5.0,A,1,0,0,1,1,2,3,0,0,-1.6857142857142826,1.7177742282732424
EXP_SM_win,win,"[1, 2]",26,-3.1999999999999984,A,1,0,0,2,2,1,2,1,0,-0.6952380952380915,1.5289200017927984
EXP_SM_win,win,"[1, 2]",27,-0.5999999999999961,A,1,0,0,1,1,2,2,0,1,-0.9333333333333297,1.4894336837914948
EXP_SM_win,win,"[1, 2]",28,-0.9999999999999964,A,1,0,0,2,2,2,2,0,0,-1.0857142857142823,1.1865458931126884
EXP_SM_win,win,"[1, 2]",29,-5.0,A,1,0,0,1,1,2,3,0,0,-1.6952380952380923,1.7089334436247754
EXP_SM_win,win,"[1, 2]",30,-5.0,A,1,0,0,1,1,2,3,0,0,-1.6476190476190447,1.7368880347769915
EXP_SM_win,win,"[1, 2]",31,2.6000000000000068,B,0,1,0,1,1,1,2,1,1,0.2857142857142904,1.3726185313673516
EXP_SM_win,win,"[1, 2]",32,0.8000000000000052,B,0,1,0,1,1,3,1,1,0,1.066666666666672,1.0222912330052367
